codigo,valor
2405,El cineasta presentó su último documental en el festival
1284,El equipo nacional ganó el campeonato de baloncesto
629,El estreno de la película fue un éxito en taquilla
521,El congreso aprobó una nueva reforma tributaria
203,El nuevo presidente anunció cambios en su gabinete
112,Cristiano Ronaldo es uno de los mejores jugadores de fútbol
1173,La cinematografía de esta película es impresionante
2516,Los seguidores asistieron a la misa dominical
1628,La Champions League es uno de los torneos más prestigiosos
1062,Las nuevas regulaciones afectarán a muchas empresas
418,Los creyentes celebran la festividad con una gran ceremonia
2294,Las nuevas medidas económicas han sido muy debatidas
841,Lionel Messi ha ganado múltiples balones de oro
307,La película fue nominada a varios premios Oscar
1517,El gobierno lanzó un programa de educación gratuita
1739,El partido político opositor criticó las nuevas leyes
2072,Una de las tácticas más usadas en el fútbol es el contraataque
105,El fútbol es el deporte más popular del mundo
2183,Los ciudadanos protestaron contra la corrupción política
1961,El líder religioso pronunció un discurso emotivo
1406,El actor principal ofreció una actuación increíble
951,La política económica del país está en crisis
1850,La escena final de la película dejó a todos impactados
1395,La iglesia local organizó un evento benéfico
734,Las oraciones en la catedral atrajeron a cientos de fieles
